Job Code,Course,Mandatory,Frequency
JC5003,Code of Conduct,Yes,Annual
JC5003,Cyber Security Awareness,Yes,Annual
JC5003,Leading Teams,Yes,Once
JC9948,Code of Conduct,Yes,Annual
JC9948,Cyber Security Awareness,Yes,Annual
JC9948,AML & Sanctions Awareness,Yes,Annual
JC9948,Leading Teams,Yes,Once
JC4996,Code of Conduct,Yes,Annual
JC4996,Cyber Security Awareness,Yes,Annual
JC4996,AML & Sanctions Awareness,Yes,Annual
JC4996,Leading Teams,Yes,Once
JC9166,Code of Conduct,Yes,Annual
JC9166,Cyber Security Awareness,Yes,Annual
JC9166,AML & Sanctions Awareness,Yes,Annual
JC9166,Leading Teams,Yes,Once
JC9166,SAMA Consumer Protection,Yes,Annual
JC4309,Code of Conduct,Yes,Annual
JC4309,Cyber Security Awareness,Yes,Annual
JC4309,AML & Sanctions Awareness,Yes,Annual
JC4309,Leading Teams,Yes,Once
JC4309,Cyber Security Awareness,Yes,Annual
JC5406,Code of Conduct,Yes,Annual
JC5406,Cyber Security Awareness,Yes,Annual
JC5406,AML & Sanctions Awareness,Yes,Annual
JC9655,Code of Conduct,Yes,Annual
JC9655,Cyber Security Awareness,Yes,Annual
JC9655,AML & Sanctions Awareness,Yes,Annual
JC9655,Operational Risk Management,Yes,Every 2 years
JC8563,Code of Conduct,Yes,Annual
JC8563,Cyber Security Awareness,Yes,Annual
JC8563,AML & Sanctions Awareness,Yes,Annual
JC3849,Code of Conduct,Yes,Annual
JC3849,Cyber Security Awareness,Yes,Annual
JC3849,AML & Sanctions Awareness,Yes,Annual
JC3949,Code of Conduct,Yes,Annual
JC3949,Cyber Security Awareness,Yes,Annual
JC3949,AML & Sanctions Awareness,Yes,Annual
JC7969,Code of Conduct,Yes,Annual
JC7969,Cyber Security Awareness,Yes,Annual
JC7969,AML & Sanctions Awareness,Yes,Annual
JC6174,Code of Conduct,Yes,Annual
JC6174,Cyber Security Awareness,Yes,Annual
JC6174,AML & Sanctions Awareness,Yes,Annual
JC7954,Code of Conduct,Yes,Annual
JC7954,Cyber Security Awareness,Yes,Annual
JC7954,AML & Sanctions Awareness,Yes,Annual
JC7954,Credit Risk Essentials,Yes,Every 2 years
JC3628,Code of Conduct,Yes,Annual
JC3628,Cyber Security Awareness,Yes,Annual
JC3628,AML & Sanctions Awareness,Yes,Annual
JC3628,Code of Conduct,Yes,Annual
JC8867,Code of Conduct,Yes,Annual
JC8867,Cyber Security Awareness,Yes,Annual
JC8867,AML & Sanctions Awareness,Yes,Annual
JC3982,Code of Conduct,Yes,Annual
JC3982,Cyber Security Awareness,Yes,Annual
JC3982,AML & Sanctions Awareness,Yes,Annual
JC6277,Code of Conduct,Yes,Annual
JC6277,Cyber Security Awareness,Yes,Annual
JC6277,AML & Sanctions Awareness,Yes,Annual
JC6277,Leading Teams,Yes,Once
JC7947,Code of Conduct,Yes,Annual
JC7947,Cyber Security Awareness,Yes,Annual
JC7947,AML & Sanctions Awareness,Yes,Annual
JC5785,Code of Conduct,Yes,Annual
JC5785,Cyber Security Awareness,Yes,Annual
JC5785,AML & Sanctions Awareness,Yes,Annual
JC2472,Code of Conduct,Yes,Annual
JC2472,Cyber Security Awareness,Yes,Annual
JC2472,AML & Sanctions Awareness,Yes,Annual
JC6600,Code of Conduct,Yes,Annual
JC6600,Cyber Security Awareness,Yes,Annual
JC6600,AML & Sanctions Awareness,Yes,Annual
JC5151,Code of Conduct,Yes,Annual
JC5151,Cyber Security Awareness,Yes,Annual
JC5151,AML & Sanctions Awareness,Yes,Annual
JC7733,Code of Conduct,Yes,Annual
JC7733,Cyber Security Awareness,Yes,Annual
JC7733,AML & Sanctions Awareness,Yes,Annual
JC7733,AML & Sanctions Awareness,Yes,Annual
JC5229,Code of Conduct,Yes,Annual
JC5229,Cyber Security Awareness,Yes,Annual
JC5229,AML & Sanctions Awareness,Yes,Annual
JC3562,Code of Conduct,Yes,Annual
JC3562,Cyber Security Awareness,Yes,Annual
JC3562,AML & Sanctions Awareness,Yes,Annual
JC9417,Code of Conduct,Yes,Annual
JC9417,Cyber Security Awareness,Yes,Annual
