Org Unit,Parent Unit,Unit Code,Level,Function Type,Unit Head,Unit Status,Roles and Responsibilities
CEO Office,,ORG-100,Group,Governance,,Active,"Sets strategy and owns delivery of the bank's plan to the Board. Holds corporate strategy, transformation and corporate communications directly."
Retail Banking Group,,ORG-110,Group,Business (1st line),,Active,"Runs the branch network, cards, payments and wealth propositions for individual customers, owning revenue, service quality and channel migration."
Corporate Banking Group,,ORG-120,Group,Business (1st line),,Active,"Serves corporate and SME clients across lending, trade finance and transaction banking, owning the corporate credit portfolio and relationship coverage."
Treasury & Investments Group,,ORG-130,Group,Business (1st line),,Active,"Manages the bank's liquidity, funding and investment book, and prices and distributes FX and fixed income to clients within Board-approved limits."
Risk Group,,ORG-140,Group,Control (2nd line),,Active,"Owns the bank-wide risk framework: credit, market and operational risk appetite, limit setting and stress testing, and independent challenge of first-line decisions. Reports the risk position to the Board Risk Committee."
Compliance Group,,ORG-150,Group,Control (2nd line),,Active,"Ensures adherence to SAMA regulations and internal policy. Owns AML/CFT, sanctions screening, regulatory reporting and the non-objection process for controlled functions."
Internal Audit Group,,ORG-160,Group,Assurance (3rd line),,Active,"Provides independent assurance to the Audit Committee over the effectiveness of governance, risk management and internal control."
Finance Group,,ORG-170,Group,Control (2nd line),,Active,"Owns financial control, planning, performance and tax. Produces statutory and regulatory reporting and manages capital."
Technology Group,,ORG-180,Group,Enabling,,Active,"Delivers and runs core banking, digital channels, infrastructure and cybersecurity. Accountable for platform availability, change delivery and technology risk."
Operations Group,,ORG-190,Group,Business (1st line),,Active,"Processes payments, trade and branch operations with accountability for throughput, accuracy and operational loss."
Human Resources Group,,ORG-200,Group,Enabling,,Active,"Owns workforce strategy, talent acquisition, learning, Saudization targets and the succession framework for critical and controlled roles."
Legal Group,,ORG-210,Group,Control (2nd line),,Active,"Advises on corporate legal matters, contracts and litigation, and owns legal risk."
Strategy & Communications Division,CEO Office,ORG-401,Division,Governance,,Active,
Corporate Strategy,Strategy & Communications Division,ORG-402,Department,Governance,,Active,
Corporate Communications,Strategy & Communications Division,ORG-403,Department,Governance,,Active,
Branch Network Division,Retail Banking Group,ORG-404,Division,Business (1st line),,Active,"Runs the physical network across three regions — footprint, branch profitability, service standards and cash operations at the counter."
Central Region Branches,Branch Network Division,ORG-405,Department,Business (1st line),,Active,
Western Region Branches,Branch Network Division,ORG-406,Department,Business (1st line),,Active,
Eastern Region Branches,Branch Network Division,ORG-407,Department,Business (1st line),,Active,
Products & Cards Division,Retail Banking Group,ORG-408,Division,Business (1st line),,Active,
Cards & Payments,Products & Cards Division,ORG-409,Department,Business (1st line),,Active,
Personal Finance,Products & Cards Division,ORG-410,Department,Business (1st line),,Active,
